Reading Count,Sensor Value,,,,,,,,,,,,,,,,,,,,,,,,
35,137,,,,,,,,,,,,,,,,,,,,,,,,
36,137,,,,,,,,,,,,,,,,,,,,,,,,
37,138,,,,,,,,,,,,,,,,,,,,,,,,
38,138,,,,,,,,,,,,,,,,,,,,,,,,
39,321,,,,,,,,,,,,,,,,,,,,,,,,
40,138,,,,,,,,,,,,,,,,,,,,,,,,
41,136,,,,,,,,,,,,,,,,,,,,,,,,
42,137,,,,,,,,,,,,,,,,,,,,,,,,
43,138,,,,,,,,,,,,,,,,,,,,,,,,
44,137,,,,,,,,,,,,,,,,,,,,,,,,
45,137,,,,,,,,,,,,,,,,,,,,,,,,
46,137,,,,,,,,,,,,,,,,,,,,,,,,
47,137,,,,,,,,,,,,,,,,,,,,,,,,
48,137,,,,,,,,,,,,,,,,,,,,,,,,
49,138,,,,,,,,,,,,,,,,,,,,,,,,
50,340,,,,,,,,,,,,,,,,,,,,,,,,
51,137,,,,,,,,,,,,,,,,,,,,,,,,
52,137,,,,,,,,,,,,,,,,,,,,,,,,
53,137,,,,,,,,,,,,,,,,,,,,,,,,
54,137,,,,,,,,,,,,,,,,,,,,,,,,
55,136,,,,,,,,,,,,,,,,,,,,,,,,
56,138,,,,,,,,,,,,,,,,,,,,,,,,
57,138,,,,,,,,,,,,,,,,,,,,,,,,
58,137,,,,,,,,,,,,,,,,,,,,,,,,
59,136,,,,,,,,,,,,,,,,,,,,,,,,
60,137,,,,,,,,,,,,,,,,,,,,,,,,
61,346,,,,,,,,,,,,,,,,,,,,,,,,
62,136,,,,,,,,,,,,,,,,,,,,,,,,
63,135,,,,,,,,,,,,,,,,,,,,,,,,
64,133,,,,,,,,,,,,,,,,,,,,,,,,
65,131,,,,,,,,,,,,,,,,,,,,,,,,
66,142,,,,,,,,,,,,,,,,,,,,,,,,
67,121,,,,,,,,,,,,,,,,,,,,,,,,
68,118,,,,,,,,,,,,,,,,,,,,,,,,
69,116,,,,,,,,,,,,,,,,,,,,,,,,
70,117,,,,,,,,,,,,,,,,,,,,,,,,
71,115,,,,,,,,,,,,,,,,,,,,,,,,
72,199,,,,,,,,,,,,,,,,,,,,,,,,
73,113,,,,,,,,,,,,,,,,,,,,,,,,
74,114,,,,,,,,,,,,,,,,,,,,,,,,
75,113,,,,,,,,,,,,,,,,,,,,,,,,
76,113,,,,,,,,,,,,,,,,,,,,,,,,
77,170,,,,,,,,,,,,,,,,,,,,,,,,
78,111,,,,,,,,,,,,,,,,,,,,,,,,
79,116,,,,,,,,,,,,,,,,,,,,,,,,
80,115,,,,,,,,,,,,,,,,,,,,,,,,
81,116,,,,,,,,,,,,,,,,,,,,,,,,
82,115,,,,,,,,,,,,,,,,,,,,,,,,
83,195,,,,,,,,,,,,,,,,,,,,,,,,
84,112,,,,,,,,,,,,,,,,,,,,,,,,
85,112,,,,,,,,,,,,,,,,,,,,,,,,
86,111,,,,,,,,,,,,,,,,,,,,,,,,
87,112,,,,,,,,,,,,,,,,,,,,,,,,
88,179,,,,,,,,,,,,,,,,,,,,,,,,
89,112,,,,,,,,,,,,,,,,,,,,,,,,
90,114,,,,,,,,,,,,,,,,,,,,,,,,
91,114,,,,,,,,,,,,,,,,,,,,,,,,
92,115,,,,,,,,,,,,,,,,,,,,,,,,
93,111,,,,,,,,,,,,,,,,,,,,,,,,
94,190,,,,,,,,,,,,,,,,,,,,,,,,
95,112,,,,,,,,,,,,,,,,,,,,,,,,
96,112,,,,,,,,,,,,,,,,,,,,,,,,
97,114,,,,,,,,,,,,,,,,,,,,,,,,
98,114,,,,,,,,,,,,,,,,,,,,,,,,
99,191,,,,,,,,,,,,,,,,,,,,,,,,
100,113,,,,,,,,,,,,,,,,,,,,,,,,
101,115,,,,,,,,,,,,,,,,,,,,,,,,
102,115,,,,,,,,,,,,,,,,,,,,,,,,
103,115,,,,,,,,,,,,,,,,,,,,,,,,
104,115,,,,,,,,,,,,,,,,,,,,,,,,
105,180,,,,,,,,,,,,,,,,,,,,,,,,
106,115,,,,,,,,,,,,,,,,,,,,,,,,
107,116,,,,,,,,,,,,,,,,,,,,,,,,
108,116,,,,,,,,,,,,,,,,,,,,,,,,
109,116,,,,,,,,,,,,,,,,,,,,,,,,
110,208,,,,,,,,,,,,,,,,,,,,,,,,
111,117,,,,,,,,,,,,,,,,,,,,,,,,
112,117,,,,,,,,,,,,,,,,,,,,,,,,
113,117,,,,,,,,,,,,,,,,,,,,,,,,
114,119,,,,,,,,,,,,,,,,,,,,,,,,
115,117,,,,,,,,,,,,,,,,,,,,,,,,
116,125,,,,,,,,,,,,,,,,,,,,,,,,
117,119,,,,,,,,,,,,,,,,,,,,,,,,
118,119,,,,,,,,,,,,,,,,,,,,,,,,
119,119,,,,,,,,,,,,,,,,,,,,,,,,
120,119,,,,,,,,,,,,,,,,,,,,,,,,
121,216,,,,,,,,,,,,,,,,,,,,,,,,
122,118,,,,,,,,,,,,,,,,,,,,,,,,
123,119,,,,,,,,,,,,,,,,,,,,,,,,
124,119,,,,,,,,,,,,,,,,,,,,,,,,
125,119,,,,,,,,,,,,,,,,,,,,,,,,
126,119,,,,,,,,,,,,,,,,,,,,,,,,
127,121,,,,,,,,,,,,,,,,,,,,,,,,
128,119,,,,,,,,,,,,,,,,,,,,,,,,
129,119,,,,,,,,,,,,,,,,,,,,,,,,
130,119,,,,,,,,,,,,,,,,,,,,,,,,
131,120,,,,,,,,,,,,,,,,,,,,,,,,
132,221,,,,,,,,,,,,,,,,,,,,,,,,
133,120,,,,,,,,,,,,,,,,,,,,,,,,
134,120,,,,,,,,,,,,,,,,,,,,,,,,
135,120,,,,,,,,,,,,,,,,,,,,,,,,
136,121,,,,,,,,,,,,,,,,,,,,,,,,
137,120,,,,,,,,,,,,,,,,,,,,,,,,
138,122,,,,,,,,,,,,,,,,,,,,,,,,
139,120,,,,,,,,,,,,,,,,,,,,,,,,
140,121,,,,,,,,,,,,,,,,,,,,,,,,
141,120,,,,,,,,,,,,,,,,,,,,,,,,
142,121,,,,,,,,,,,,,,,,,,,,,,,,
143,232,,,,,,,,,,,,,,,,,,,,,,,,
144,122,,,,,,,,,,,,,,,,,,,,,,,,
145,122,,,,,,,,,,,,,,,,,,,,,,,,
146,122,,,,,,,,,,,,,,,,,,,,,,,,
147,123,,,,,,,,,,,,,,,,,,,,,,,,
148,122,,,,,,,,,,,,,,,,,,,,,,,,
149,124,,,,,,,,,,,,,,,,,,,,,,,,
150,121,,,,,,,,,,,,,,,,,,,,,,,,
