Reading Count,Sensor Value,,,,,,,,,,,,,,,,,,,,,,,,
62,121,,,,,,,,,,,,,,,,,,,,,,,,
63,120,,,,,,,,,,,,,,,,,,,,,,,,
64,120,,,,,,,,,,,,,,,,,,,,,,,,
65,120,,,,,,,,,,,,,,,,,,,,,,,,
66,221,,,,,,,,,,,,,,,,,,,,,,,,
67,120,,,,,,,,,,,,,,,,,,,,,,,,
68,120,,,,,,,,,,,,,,,,,,,,,,,,
69,120,,,,,,,,,,,,,,,,,,,,,,,,
70,120,,,,,,,,,,,,,,,,,,,,,,,,
71,120,,,,,,,,,,,,,,,,,,,,,,,,
72,221,,,,,,,,,,,,,,,,,,,,,,,,
73,121,,,,,,,,,,,,,,,,,,,,,,,,
74,120,,,,,,,,,,,,,,,,,,,,,,,,
75,120,,,,,,,,,,,,,,,,,,,,,,,,
76,120,,,,,,,,,,,,,,,,,,,,,,,,
77,219,,,,,,,,,,,,,,,,,,,,,,,,
78,120,,,,,,,,,,,,,,,,,,,,,,,,
79,120,,,,,,,,,,,,,,,,,,,,,,,,
80,120,,,,,,,,,,,,,,,,,,,,,,,,
81,120,,,,,,,,,,,,,,,,,,,,,,,,
82,120,,,,,,,,,,,,,,,,,,,,,,,,
83,214,,,,,,,,,,,,,,,,,,,,,,,,
84,120,,,,,,,,,,,,,,,,,,,,,,,,
85,120,,,,,,,,,,,,,,,,,,,,,,,,
86,120,,,,,,,,,,,,,,,,,,,,,,,,
87,120,,,,,,,,,,,,,,,,,,,,,,,,
88,213,,,,,,,,,,,,,,,,,,,,,,,,
89,120,,,,,,,,,,,,,,,,,,,,,,,,
90,120,,,,,,,,,,,,,,,,,,,,,,,,
91,120,,,,,,,,,,,,,,,,,,,,,,,,
92,120,,,,,,,,,,,,,,,,,,,,,,,,
93,120,,,,,,,,,,,,,,,,,,,,,,,,
94,214,,,,,,,,,,,,,,,,,,,,,,,,
95,120,,,,,,,,,,,,,,,,,,,,,,,,
96,120,,,,,,,,,,,,,,,,,,,,,,,,
97,120,,,,,,,,,,,,,,,,,,,,,,,,
98,120,,,,,,,,,,,,,,,,,,,,,,,,
99,217,,,,,,,,,,,,,,,,,,,,,,,,
100,120,,,,,,,,,,,,,,,,,,,,,,,,
101,120,,,,,,,,,,,,,,,,,,,,,,,,
102,120,,,,,,,,,,,,,,,,,,,,,,,,
103,120,,,,,,,,,,,,,,,,,,,,,,,,
104,120,,,,,,,,,,,,,,,,,,,,,,,,
105,221,,,,,,,,,,,,,,,,,,,,,,,,
106,120,,,,,,,,,,,,,,,,,,,,,,,,
107,120,,,,,,,,,,,,,,,,,,,,,,,,
108,121,,,,,,,,,,,,,,,,,,,,,,,,
109,120,,,,,,,,,,,,,,,,,,,,,,,,
110,221,,,,,,,,,,,,,,,,,,,,,,,,
111,120,,,,,,,,,,,,,,,,,,,,,,,,
112,120,,,,,,,,,,,,,,,,,,,,,,,,
113,120,,,,,,,,,,,,,,,,,,,,,,,,
114,120,,,,,,,,,,,,,,,,,,,,,,,,
115,120,,,,,,,,,,,,,,,,,,,,,,,,
116,223,,,,,,,,,,,,,,,,,,,,,,,,
117,120,,,,,,,,,,,,,,,,,,,,,,,,
118,120,,,,,,,,,,,,,,,,,,,,,,,,
119,120,,,,,,,,,,,,,,,,,,,,,,,,
120,121,,,,,,,,,,,,,,,,,,,,,,,,
121,223,,,,,,,,,,,,,,,,,,,,,,,,
122,120,,,,,,,,,,,,,,,,,,,,,,,,
123,120,,,,,,,,,,,,,,,,,,,,,,,,
124,120,,,,,,,,,,,,,,,,,,,,,,,,
125,120,,,,,,,,,,,,,,,,,,,,,,,,
126,135,,,,,,,,,,,,,,,,,,,,,,,,
127,223,,,,,,,,,,,,,,,,,,,,,,,,
128,120,,,,,,,,,,,,,,,,,,,,,,,,
129,120,,,,,,,,,,,,,,,,,,,,,,,,
130,121,,,,,,,,,,,,,,,,,,,,,,,,
131,132,,,,,,,,,,,,,,,,,,,,,,,,
132,222,,,,,,,,,,,,,,,,,,,,,,,,
133,120,,,,,,,,,,,,,,,,,,,,,,,,
134,120,,,,,,,,,,,,,,,,,,,,,,,,
135,120,,,,,,,,,,,,,,,,,,,,,,,,
136,120,,,,,,,,,,,,,,,,,,,,,,,,
137,189,,,,,,,,,,,,,,,,,,,,,,,,
138,223,,,,,,,,,,,,,,,,,,,,,,,,
139,120,,,,,,,,,,,,,,,,,,,,,,,,
140,120,,,,,,,,,,,,,,,,,,,,,,,,
141,120,,,,,,,,,,,,,,,,,,,,,,,,
142,176,,,,,,,,,,,,,,,,,,,,,,,,
143,223,,,,,,,,,,,,,,,,,,,,,,,,
144,120,,,,,,,,,,,,,,,,,,,,,,,,
145,120,,,,,,,,,,,,,,,,,,,,,,,,
146,120,,,,,,,,,,,,,,,,,,,,,,,,
147,120,,,,,,,,,,,,,,,,,,,,,,,,
148,213,,,,,,,,,,,,,,,,,,,,,,,,
149,224,,,,,,,,,,,,,,,,,,,,,,,,
150,120,,,,,,,,,,,,,,,,,,,,,,,,
151,120,,,,,,,,,,,,,,,,,,,,,,,,
152,120,,,,,,,,,,,,,,,,,,,,,,,,
153,210,,,,,,,,,,,,,,,,,,,,,,,,
154,222,,,,,,,,,,,,,,,,,,,,,,,,
155,120,,,,,,,,,,,,,,,,,,,,,,,,
156,120,,,,,,,,,,,,,,,,,,,,,,,,
157,120,,,,,,,,,,,,,,,,,,,,,,,,
158,120,,,,,,,,,,,,,,,,,,,,,,,,
159,218,,,,,,,,,,,,,,,,,,,,,,,,
160,195,,,,,,,,,,,,,,,,,,,,,,,,
161,120,,,,,,,,,,,,,,,,,,,,,,,,
162,120,,,,,,,,,,,,,,,,,,,,,,,,
163,120,,,,,,,,,,,,,,,,,,,,,,,,
164,218,,,,,,,,,,,,,,,,,,,,,,,,
165,211,,,,,,,,,,,,,,,,,,,,,,,,
166,120,,,,,,,,,,,,,,,,,,,,,,,,
167,120,,,,,,,,,,,,,,,,,,,,,,,,
168,120,,,,,,,,,,,,,,,,,,,,,,,,
169,120,,,,,,,,,,,,,,,,,,,,,,,,
170,221,,,,,,,,,,,,,,,,,,,,,,,,
171,143,,,,,,,,,,,,,,,,,,,,,,,,
172,120,,,,,,,,,,,,,,,,,,,,,,,,
173,120,,,,,,,,,,,,,,,,,,,,,,,,
174,120,,,,,,,,,,,,,,,,,,,,,,,,
175,221,,,,,,,,,,,,,,,,,,,,,,,,
176,146,,,,,,,,,,,,,,,,,,,,,,,,
177,120,,,,,,,,,,,,,,,,,,,,,,,,
178,121,,,,,,,,,,,,,,,,,,,,,,,,
179,120,,,,,,,,,,,,,,,,,,,,,,,,
180,120,,,,,,,,,,,,,,,,,,,,,,,,
181,223,,,,,,,,,,,,,,,,,,,,,,,,
182,123,,,,,,,,,,,,,,,,,,,,,,,,
183,121,,,,,,,,,,,,,,,,,,,,,,,,
184,120,,,,,,,,,,,,,,,,,,,,,,,,
185,120,,,,,,,,,,,,,,,,,,,,,,,,
186,221,,,,,,,,,,,,,,,,,,,,,,,,
187,124,,,,,,,,,,,,,,,,,,,,,,,,
188,120,,,,,,,,,,,,,,,,,,,,,,,,
189,121,,,,,,,,,,,,,,,,,,,,,,,,
190,121,,,,,,,,,,,,,,,,,,,,,,,,
191,120,,,,,,,,,,,,,,,,,,,,,,,,
192,223,,,,,,,,,,,,,,,,,,,,,,,,
193,121,,,,,,,,,,,,,,,,,,,,,,,,
194,120,,,,,,,,,,,,,,,,,,,,,,,,
195,120,,,,,,,,,,,,,,,,,,,,,,,,
196,120,,,,,,,,,,,,,,,,,,,,,,,,
197,225,,,,,,,,,,,,,,,,,,,,,,,,
198,122,,,,,,,,,,,,,,,,,,,,,,,,
199,120,,,,,,,,,,,,,,,,,,,,,,,,
200,120,,,,,,,,,,,,,,,,,,,,,,,,
201,120,,,,,,,,,,,,,,,,,,,,,,,,
202,119,,,,,,,,,,,,,,,,,,,,,,,,
203,215,,,,,,,,,,,,,,,,,,,,,,,,
204,120,,,,,,,,,,,,,,,,,,,,,,,,
205,119,,,,,,,,,,,,,,,,,,,,,,,,
206,118,,,,,,,,,,,,,,,,,,,,,,,,
207,119,,,,,,,,,,,,,,,,,,,,,,,,
208,207,,,,,,,,,,,,,,,,,,,,,,,,
209,119,,,,,,,,,,,,,,,,,,,,,,,,
210,118,,,,,,,,,,,,,,,,,,,,,,,,
211,118,,,,,,,,,,,,,,,,,,,,,,,,
212,118,,,,,,,,,,,,,,,,,,,,,,,,
213,118,,,,,,,,,,,,,,,,,,,,,,,,
214,206,,,,,,,,,,,,,,,,,,,,,,,,
215,118,,,,,,,,,,,,,,,,,,,,,,,,
216,118,,,,,,,,,,,,,,,,,,,,,,,,
217,118,,,,,,,,,,,,,,,,,,,,,,,,
218,118,,,,,,,,,,,,,,,,,,,,,,,,
219,205,,,,,,,,,,,,,,,,,,,,,,,,
220,118,,,,,,,,,,,,,,,,,,,,,,,,
221,118,,,,,,,,,,,,,,,,,,,,,,,,
222,118,,,,,,,,,,,,,,,,,,,,,,,,
223,118,,,,,,,,,,,,,,,,,,,,,,,,
224,119,,,,,,,,,,,,,,,,,,,,,,,,
225,209,,,,,,,,,,,,,,,,,,,,,,,,
226,119,,,,,,,,,,,,,,,,,,,,,,,,
227,119,,,,,,,,,,,,,,,,,,,,,,,,
228,118,,,,,,,,,,,,,,,,,,,,,,,,
229,119,,,,,,,,,,,,,,,,,,,,,,,,
230,213,,,,,,,,,,,,,,,,,,,,,,,,
231,119,,,,,,,,,,,,,,,,,,,,,,,,
232,119,,,,,,,,,,,,,,,,,,,,,,,,
233,119,,,,,,,,,,,,,,,,,,,,,,,,
234,118,,,,,,,,,,,,,,,,,,,,,,,,
235,119,,,,,,,,,,,,,,,,,,,,,,,,
236,214,,,,,,,,,,,,,,,,,,,,,,,,
237,119,,,,,,,,,,,,,,,,,,,,,,,,
238,118,,,,,,,,,,,,,,,,,,,,,,,,
239,118,,,,,,,,,,,,,,,,,,,,,,,,
240,118,,,,,,,,,,,,,,,,,,,,,,,,
241,214,,,,,,,,,,,,,,,,,,,,,,,,
242,119,,,,,,,,,,,,,,,,,,,,,,,,
243,119,,,,,,,,,,,,,,,,,,,,,,,,
244,119,,,,,,,,,,,,,,,,,,,,,,,,
245,118,,,,,,,,,,,,,,,,,,,,,,,,
246,126,,,,,,,,,,,,,,,,,,,,,,,,
247,214,,,,,,,,,,,,,,,,,,,,,,,,
248,119,,,,,,,,,,,,,,,,,,,,,,,,
249,119,,,,,,,,,,,,,,,,,,,,,,,,
250,119,,,,,,,,,,,,,,,,,,,,,,,,
251,130,,,,,,,,,,,,,,,,,,,,,,,,
252,213,,,,,,,,,,,,,,,,,,,,,,,,
253,118,,,,,,,,,,,,,,,,,,,,,,,,
254,118,,,,,,,,,,,,,,,,,,,,,,,,
255,118,,,,,,,,,,,,,,,,,,,,,,,,
256,118,,,,,,,,,,,,,,,,,,,,,,,,
257,169,,,,,,,,,,,,,,,,,,,,,,,,
258,215,,,,,,,,,,,,,,,,,,,,,,,,
259,119,,,,,,,,,,,,,,,,,,,,,,,,
260,119,,,,,,,,,,,,,,,,,,,,,,,,
261,119,,,,,,,,,,,,,,,,,,,,,,,,
262,171,,,,,,,,,,,,,,,,,,,,,,,,
263,215,,,,,,,,,,,,,,,,,,,,,,,,
264,119,,,,,,,,,,,,,,,,,,,,,,,,
265,119,,,,,,,,,,,,,,,,,,,,,,,,
266,119,,,,,,,,,,,,,,,,,,,,,,,,
267,119,,,,,,,,,,,,,,,,,,,,,,,,
268,202,,,,,,,,,,,,,,,,,,,,,,,,
269,215,,,,,,,,,,,,,,,,,,,,,,,,
270,119,,,,,,,,,,,,,,,,,,,,,,,,
271,118,,,,,,,,,,,,,,,,,,,,,,,,
272,118,,,,,,,,,,,,,,,,,,,,,,,,
273,203,,,,,,,,,,,,,,,,,,,,,,,,
274,214,,,,,,,,,,,,,,,,,,,,,,,,
275,119,,,,,,,,,,,,,,,,,,,,,,,,
276,118,,,,,,,,,,,,,,,,,,,,,,,,
277,118,,,,,,,,,,,,,,,,,,,,,,,,
278,118,,,,,,,,,,,,,,,,,,,,,,,,
279,210,,,,,,,,,,,,,,,,,,,,,,,,
280,215,,,,,,,,,,,,,,,,,,,,,,,,
281,119,,,,,,,,,,,,,,,,,,,,,,,,
282,118,,,,,,,,,,,,,,,,,,,,,,,,
283,119,,,,,,,,,,,,,,,,,,,,,,,,
284,211,,,,,,,,,,,,,,,,,,,,,,,,
285,215,,,,,,,,,,,,,,,,,,,,,,,,
286,119,,,,,,,,,,,,,,,,,,,,,,,,
287,119,,,,,,,,,,,,,,,,,,,,,,,,
288,119,,,,,,,,,,,,,,,,,,,,,,,,
289,119,,,,,,,,,,,,,,,,,,,,,,,,
290,213,,,,,,,,,,,,,,,,,,,,,,,,
291,190,,,,,,,,,,,,,,,,,,,,,,,,
292,119,,,,,,,,,,,,,,,,,,,,,,,,
293,119,,,,,,,,,,,,,,,,,,,,,,,,
294,119,,,,,,,,,,,,,,,,,,,,,,,,
295,212,,,,,,,,,,,,,,,,,,,,,,,,
296,185,,,,,,,,,,,,,,,,,,,,,,,,
297,119,,,,,,,,,,,,,,,,,,,,,,,,
298,119,,,,,,,,,,,,,,,,,,,,,,,,
299,118,,,,,,,,,,,,,,,,,,,,,,,,
300,118,,,,,,,,,,,,,,,,,,,,,,,,
301,214,,,,,,,,,,,,,,,,,,,,,,,,
302,144,,,,,,,,,,,,,,,,,,,,,,,,
303,119,,,,,,,,,,,,,,,,,,,,,,,,
304,118,,,,,,,,,,,,,,,,,,,,,,,,
305,119,,,,,,,,,,,,,,,,,,,,,,,,
306,213,,,,,,,,,,,,,,,,,,,,,,,,
307,134,,,,,,,,,,,,,,,,,,,,,,,,
308,118,,,,,,,,,,,,,,,,,,,,,,,,
309,118,,,,,,,,,,,,,,,,,,,,,,,,
310,118,,,,,,,,,,,,,,,,,,,,,,,,
311,119,,,,,,,,,,,,,,,,,,,,,,,,
312,213,,,,,,,,,,,,,,,,,,,,,,,,
313,121,,,,,,,,,,,,,,,,,,,,,,,,
314,119,,,,,,,,,,,,,,,,,,,,,,,,
315,118,,,,,,,,,,,,,,,,,,,,,,,,
316,119,,,,,,,,,,,,,,,,,,,,,,,,
317,214,,,,,,,,,,,,,,,,,,,,,,,,
318,121,,,,,,,,,,,,,,,,,,,,,,,,
319,119,,,,,,,,,,,,,,,,,,,,,,,,
320,118,,,,,,,,,,,,,,,,,,,,,,,,
321,118,,,,,,,,,,,,,,,,,,,,,,,,
322,119,,,,,,,,,,,,,,,,,,,,,,,,
323,215,,,,,,,,,,,,,,,,,,,,,,,,
324,119,,,,,,,,,,,,,,,,,,,,,,,,
325,119,,,,,,,,,,,,,,,,,,,,,,,,
326,119,,,,,,,,,,,,,,,,,,,,,,,,
327,119,,,,,,,,,,,,,,,,,,,,,,,,
328,208,,,,,,,,,,,,,,,,,,,,,,,,
329,119,,,,,,,,,,,,,,,,,,,,,,,,
330,119,,,,,,,,,,,,,,,,,,,,,,,,
331,118,,,,,,,,,,,,,,,,,,,,,,,,
332,118,,,,,,,,,,,,,,,,,,,,,,,,
333,118,,,,,,,,,,,,,,,,,,,,,,,,
334,208,,,,,,,,,,,,,,,,,,,,,,,,
335,119,,,,,,,,,,,,,,,,,,,,,,,,
336,118,,,,,,,,,,,,,,,,,,,,,,,,
