Reading Count,Sensor Value,,,,,,,,,,,,,,,,,,,,,,,,
113,114,,,,,,,,,,,,,,,,,,,,,,,,
114,114,,,,,,,,,,,,,,,,,,,,,,,,
115,114,,,,,,,,,,,,,,,,,,,,,,,,
116,114,,,,,,,,,,,,,,,,,,,,,,,,
117,114,,,,,,,,,,,,,,,,,,,,,,,,
118,117,,,,,,,,,,,,,,,,,,,,,,,,
119,113,,,,,,,,,,,,,,,,,,,,,,,,
120,114,,,,,,,,,,,,,,,,,,,,,,,,
121,114,,,,,,,,,,,,,,,,,,,,,,,,
122,114,,,,,,,,,,,,,,,,,,,,,,,,
123,172,,,,,,,,,,,,,,,,,,,,,,,,
124,113,,,,,,,,,,,,,,,,,,,,,,,,
125,114,,,,,,,,,,,,,,,,,,,,,,,,
126,113,,,,,,,,,,,,,,,,,,,,,,,,
127,114,,,,,,,,,,,,,,,,,,,,,,,,
128,113,,,,,,,,,,,,,,,,,,,,,,,,
129,116,,,,,,,,,,,,,,,,,,,,,,,,
130,114,,,,,,,,,,,,,,,,,,,,,,,,
131,114,,,,,,,,,,,,,,,,,,,,,,,,
132,114,,,,,,,,,,,,,,,,,,,,,,,,
133,114,,,,,,,,,,,,,,,,,,,,,,,,
134,114,,,,,,,,,,,,,,,,,,,,,,,,
135,113,,,,,,,,,,,,,,,,,,,,,,,,
136,114,,,,,,,,,,,,,,,,,,,,,,,,
137,114,,,,,,,,,,,,,,,,,,,,,,,,
138,113,,,,,,,,,,,,,,,,,,,,,,,,
139,113,,,,,,,,,,,,,,,,,,,,,,,,
140,114,,,,,,,,,,,,,,,,,,,,,,,,
141,113,,,,,,,,,,,,,,,,,,,,,,,,
142,113,,,,,,,,,,,,,,,,,,,,,,,,
143,113,,,,,,,,,,,,,,,,,,,,,,,,
144,113,,,,,,,,,,,,,,,,,,,,,,,,
145,113,,,,,,,,,,,,,,,,,,,,,,,,
146,113,,,,,,,,,,,,,,,,,,,,,,,,
147,113,,,,,,,,,,,,,,,,,,,,,,,,
148,113,,,,,,,,,,,,,,,,,,,,,,,,
149,113,,,,,,,,,,,,,,,,,,,,,,,,
150,113,,,,,,,,,,,,,,,,,,,,,,,,
151,113,,,,,,,,,,,,,,,,,,,,,,,,
152,112,,,,,,,,,,,,,,,,,,,,,,,,
153,112,,,,,,,,,,,,,,,,,,,,,,,,
154,113,,,,,,,,,,,,,,,,,,,,,,,,
155,113,,,,,,,,,,,,,,,,,,,,,,,,
156,113,,,,,,,,,,,,,,,,,,,,,,,,
157,113,,,,,,,,,,,,,,,,,,,,,,,,
158,113,,,,,,,,,,,,,,,,,,,,,,,,
159,113,,,,,,,,,,,,,,,,,,,,,,,,
160,112,,,,,,,,,,,,,,,,,,,,,,,,
161,113,,,,,,,,,,,,,,,,,,,,,,,,
162,114,,,,,,,,,,,,,,,,,,,,,,,,
163,113,,,,,,,,,,,,,,,,,,,,,,,,
164,112,,,,,,,,,,,,,,,,,,,,,,,,
165,113,,,,,,,,,,,,,,,,,,,,,,,,
166,112,,,,,,,,,,,,,,,,,,,,,,,,
167,113,,,,,,,,,,,,,,,,,,,,,,,,
168,113,,,,,,,,,,,,,,,,,,,,,,,,
169,114,,,,,,,,,,,,,,,,,,,,,,,,
170,113,,,,,,,,,,,,,,,,,,,,,,,,
171,114,,,,,,,,,,,,,,,,,,,,,,,,
172,113,,,,,,,,,,,,,,,,,,,,,,,,
173,116,,,,,,,,,,,,,,,,,,,,,,,,
174,113,,,,,,,,,,,,,,,,,,,,,,,,
175,113,,,,,,,,,,,,,,,,,,,,,,,,
176,113,,,,,,,,,,,,,,,,,,,,,,,,
177,114,,,,,,,,,,,,,,,,,,,,,,,,
178,114,,,,,,,,,,,,,,,,,,,,,,,,
179,114,,,,,,,,,,,,,,,,,,,,,,,,
180,114,,,,,,,,,,,,,,,,,,,,,,,,
181,113,,,,,,,,,,,,,,,,,,,,,,,,
182,113,,,,,,,,,,,,,,,,,,,,,,,,
183,114,,,,,,,,,,,,,,,,,,,,,,,,
184,125,,,,,,,,,,,,,,,,,,,,,,,,
185,113,,,,,,,,,,,,,,,,,,,,,,,,
186,114,,,,,,,,,,,,,,,,,,,,,,,,
187,113,,,,,,,,,,,,,,,,,,,,,,,,
188,114,,,,,,,,,,,,,,,,,,,,,,,,
189,115,,,,,,,,,,,,,,,,,,,,,,,,
190,113,,,,,,,,,,,,,,,,,,,,,,,,
191,114,,,,,,,,,,,,,,,,,,,,,,,,
192,113,,,,,,,,,,,,,,,,,,,,,,,,
193,113,,,,,,,,,,,,,,,,,,,,,,,,
194,113,,,,,,,,,,,,,,,,,,,,,,,,
195,184,,,,,,,,,,,,,,,,,,,,,,,,
196,113,,,,,,,,,,,,,,,,,,,,,,,,
197,113,,,,,,,,,,,,,,,,,,,,,,,,
198,113,,,,,,,,,,,,,,,,,,,,,,,,
199,113,,,,,,,,,,,,,,,,,,,,,,,,
200,116,,,,,,,,,,,,,,,,,,,,,,,,
201,113,,,,,,,,,,,,,,,,,,,,,,,,
202,113,,,,,,,,,,,,,,,,,,,,,,,,
203,113,,,,,,,,,,,,,,,,,,,,,,,,
204,113,,,,,,,,,,,,,,,,,,,,,,,,
205,113,,,,,,,,,,,,,,,,,,,,,,,,
206,177,,,,,,,,,,,,,,,,,,,,,,,,
207,114,,,,,,,,,,,,,,,,,,,,,,,,
208,114,,,,,,,,,,,,,,,,,,,,,,,,
209,113,,,,,,,,,,,,,,,,,,,,,,,,
210,113,,,,,,,,,,,,,,,,,,,,,,,,
211,116,,,,,,,,,,,,,,,,,,,,,,,,
212,114,,,,,,,,,,,,,,,,,,,,,,,,
213,113,,,,,,,,,,,,,,,,,,,,,,,,
214,113,,,,,,,,,,,,,,,,,,,,,,,,
215,114,,,,,,,,,,,,,,,,,,,,,,,,
216,114,,,,,,,,,,,,,,,,,,,,,,,,
217,152,,,,,,,,,,,,,,,,,,,,,,,,
218,114,,,,,,,,,,,,,,,,,,,,,,,,
219,114,,,,,,,,,,,,,,,,,,,,,,,,
220,114,,,,,,,,,,,,,,,,,,,,,,,,
221,113,,,,,,,,,,,,,,,,,,,,,,,,
222,115,,,,,,,,,,,,,,,,,,,,,,,,
223,114,,,,,,,,,,,,,,,,,,,,,,,,
224,113,,,,,,,,,,,,,,,,,,,,,,,,
225,113,,,,,,,,,,,,,,,,,,,,,,,,
226,114,,,,,,,,,,,,,,,,,,,,,,,,
